,Title,Type,Year,Engine Size,Hand,Date Added,Price
65,הדנוה CRF1000L הקירפא ןיווט ,שיבכ/טרופס,2019,"1,000",1,29/10/2019,"87,000₪"
66,וו.מ.ב S1000RR ,שיבכ/טרופס,2016,"1,000",1,29/10/2019,"104,000₪"
67,ההאמי XTZ660 הרנט ,ישומישוד,2015,650,1,29/10/2019,"31,000₪"
68,הנרווקסוה TE300 ,ישומישוד,2019,300,1,29/10/2019,None
69,ילנב TNT300 ,שיבכ/טרופס,2016,300,3,29/10/2019,"16,000₪"
70,יקאסאוואק Vulcan S ,םוטסק,2017,650,1,29/10/2019,"32,000₪"
71,ההאמי MT125 ,שיבכ/טרופס,2019,125,1,29/10/2019,"22,500₪"
72,יקאסאוואק NINJA 650 ,שיבכ/טרופס,2017,650,1,29/10/2019,"37,000₪"
73,ההאמי V-Max 1700 ,שיבכ/טרופס,2012,"1,800",2,29/10/2019,None
74,יקאסאוואק Z900 ,שיבכ/טרופס,2018,900,2,29/10/2019,"49,900₪"
75,מ.ט.ק EXC 250 ,ישומישוד,2016,250,1,29/10/2019,"34,200₪"
76,ההאמי MT-10 ,שיבכ/טרופס,2017,"1,000",3,29/10/2019,None
77,ההאמי XTZ660 הרנט ,ישומישוד,2017,700,1,29/10/2019,"31,999₪"
78,ההאמי YZ ,סורקוטומ,2019,70,1,29/10/2019,"20,000₪"
79,MV Agusta Turismo Veloce 800 ,שיבכ/טרופס,2016,800,1,29/10/2019,None
80,מ.ט.ק EXC-F 350 ,סורקוטומ,2015,350,3,28/10/2019,"38,000₪"
81,הדנוה NC700X ,שיבכ/טרופס,2012,700,2,28/10/2019,"20,000₪"
82,מ.ט.ק EXC 450 גניסייר ,ישומישוד,2014,450,3,28/10/2019,"30,000₪"
83,יקאסאוואק Versys 650 ,ישומישוד,2018,650,1,28/10/2019,None
84,ההאמי WR250R ,ישומישוד,2017,250,2,28/10/2019,"25,000₪"
85,מ.ט.ק קויד 250 ,שיבכ/טרופס,2019,250,1,28/10/2019,"18,800₪"
86,ההאמי YZF-R1 ,שיבכ/טרופס,2018,"1,000",3,28/10/2019,"105,000₪"
87,יקוזוס DL1000 םורטס-יו ,ישומישוד,2008,"1,000",2,28/10/2019,"22,000₪"
88,"וו.מ.ב R1200GS ר""צנוודא ",ישומישוד,2018,"1,200",3,28/10/2019,None
89,ההאמי MT 07 ,שיבכ/טרופס,2018,700,2,28/10/2019,"49,000₪"
90,ההאמי XT125R ,ישומישוד,2007,125,3,28/10/2019,"5,642₪"
91,TM Racing EN 250 ,סורקוטומ,2018,250,1,28/10/2019,"40,000₪"
92,וו.מ.ב רחא ,ישומישוד,2019,300,2,28/10/2019,"36,000₪"
93,יקוזוס DL650 םורטס-יו ,ישומישוד,2010,650,2,28/10/2019,"28,500₪"
94,יקוזוס DRZ400SM ,ישומישוד,2009,400,8,28/10/2019,"16,000₪"
95,יקוזוס המוזניא 250 ,שיבכ/טרופס,2015,250,4,28/10/2019,"15,300₪"
96,יקוזוס SV650N ,שיבכ/טרופס,2018,650,1,28/10/2019,"35,000₪"
97,ההאמי YZ ,סורקוטומ,2012,100,2,28/10/2019,"13,500₪"
98,ילרה ןוסדיוויד לייטפוס טיינ ןיירט 1340 ,םוטסק,1993,"1,350",4,28/10/2019,"85,000₪"
99,סאג-סאג EC250 ,ישומישוד,2018,250,2,28/10/2019,"32,000₪"
100,יטאקוד הדרטסיטלומ 1200S ,ישומישוד,2011,"1,200",3,29/10/2019,None
101,יצוגוטומ הינרופילק 1400 ,םוטסק,2018,"1,400",1,29/10/2019,None
102,יקאסאוואק ZZR1400 ,שיבכ/טרופס,2009,"1,400",3,29/10/2019,None
103,פמוטס Z2-140-R ,סורקוטומ,2018,150,1,29/10/2019,"9,900₪"
104,ינימ קייב CRZ ,סורקוטומ,2019,70,1,29/10/2019,"6,900₪"
105,ההאמי XTZ750 הרנט-רפוס ,ישומישוד,1993,750,10+,29/10/2019,"19,900₪"
106,יקאסאוואק רחא ,שיבכ/טרופס,2019,"1,200",1,29/10/2019,"139,900₪"
107,הדנוה NC750X ,ישומישוד,2015,750,2,29/10/2019,"29,900₪"
108,ההאמי WR400/426/450F ,סורקוטומ,2018,450,3,29/10/2019,"41,999₪"
109,ההאמי MT 07 ,שיבכ/טרופס,2019,700,1,29/10/2019,"51,985₪"
110,יטאקוד רטייפטירטס ,שיבכ/טרופס,2015,850,1,29/10/2019,None
111,ההאמי MT 09 ,שיבכ/טרופס,2015,900,5,29/10/2019,"38,000₪"
112,יקוזוס GSX-S1000 ,שיבכ/טרופס,2019,"1,000",1,29/10/2019,"87,999₪"
113,מ.ט.ק 250 EXC-F ,ישומישוד,2018,250,1,29/10/2019,"51,400₪"
114,קיטנאפ ורלבק ,שיבכ/טרופס,2019,450,1,29/10/2019,"39,900₪"
115,מ.ט.ק ר'צנוודא 1190 ,ישומישוד,2014,"1,200",5,29/10/2019,"62,000₪"
116,הדנוה GL1800 גניוו-דלוג ,םוטסק,1988,"1,500",1,29/10/2019,None
117,מ.ט.ק EXC 250 ,ישומישוד,2017,250,2,29/10/2019,"43,000₪"
118,יקאסאוואק Z900 ,שיבכ/טרופס,2019,900,0,29/10/2019,"59,985₪"
119,יקאסאוואק NINJA 650 ,שיבכ/טרופס,2019,650,0,29/10/2019,"45,985₪"
120,מ.ט.ק SX 85 ,סורקוטומ,2017,100,1,28/10/2019,"16,500₪"
121,הדנוה CBR650R ,שיבכ/טרופס,2019,650,1,28/10/2019,"65,000₪"
122,מ.ט.ק קויד 690R ,שיבכ/טרופס,2017,700,1,28/10/2019,"36,000₪"
123,יקוזוס GSR750 ,שיבכ/טרופס,2013,750,3,28/10/2019,"28,000₪"
124,MV Agusta F3 675 ,שיבכ/טרופס,2016,600,1,28/10/2019,"85,000₪"
125,יקאסאוואק KLX450R ,סורקוטומ,2017,450,1,28/10/2019,None
126,יקוזוס GSX-R1000 ,שיבכ/טרופס,2008,"1,000",3,28/10/2019,"55,000₪"
127,מ.ט.ק קויד 690 ,שיבכ/טרופס,2013,700,5,28/10/2019,"19,000₪"
128,םילאיד Roadwin 250 ,שיבכ/טרופס,2015,250,4,28/10/2019,"7,700₪"
129,אטב RR 125 ,ישומישוד,2018,125,2,28/10/2019,"14,000₪"
130,ההאמי MT 09 ,שיבכ/טרופס,2015,900,2,28/10/2019,"40,000₪"
131,יקאסאוואק Z900 ,שיבכ/טרופס,2018,900,1,28/10/2019,"53,000₪"
132,וקמיק ןונאווק 125 ,ישומישוד,2012,125,5,28/10/2019,"3,500₪"
133,יקאסאוואק Versys 650 ,ישומישוד,2009,650,5,28/10/2019,"15,000₪"
134,יקאסאוואק ZX-10R Ninja ,שיבכ/טרופס,2015,"1,000",4,28/10/2019,"74,000₪"
135,יקוזוס DL650 םורטס-יו ,ישומישוד,2017,650,2,28/10/2019,"42,500₪"
136,ילנב TRK502 ,ישומישוד,2019,500,2,28/10/2019,"38,000₪"
137,יקאסאוואק NINJA 650 ,שיבכ/טרופס,2019,650,1,28/10/2019,"40,000₪"
138,יקוזוס DRZ400S ,ישומישוד,2016,400,2,28/10/2019,"27,000₪"
139,הדנוה CRF250X ,ישומישוד,2017,250,2,28/10/2019,"33,000₪"
140,יקאסאוואק NINJA 650 ,שיבכ/טרופס,2019,650,1,29/10/2019,"44,999₪"
141,מ.ט.ק EXC 250 ,ישומישוד,2017,250,2,29/10/2019,"43,000₪"
142,ההאמי MT 09 TRACER ,שיבכ/טרופס,2019,900,0,29/10/2019,"74,985₪"
143,יקאסאוואק ZX-10R Ninja ,שיבכ/טרופס,2019,"1,000",1,29/10/2019,"149,900₪"
144,הדנוה CB1000R ,שיבכ/טרופס,2018,"1,000",1,29/10/2019,"83,000₪"
145,יקאסאוואק רחא ,שיבכ/טרופס,2019,"1,000",1,29/10/2019,"224,999₪"
146,יקאסאוואק Z900 ,שיבכ/טרופס,2018,900,0,29/10/2019,"59,999₪"
147,הדנוה CRF250 RALLY ,ישומישוד,2018,250,4,29/10/2019,"25,900₪"
148,הדנוה CRF1000L הקירפא ןיווט ,ישומישוד,2018,"1,000",1,29/10/2019,"74,999₪"
149,וו.מ.ב רחא ,ישומישוד,2019,300,2,29/10/2019,"31,900₪"
150,יקאסאוואק Z650 abs ,שיבכ/טרופס,2017,650,2,29/10/2019,"25,999₪"
151,הדנוה CRF1000L הקירפא ןיווט ,ישומישוד,2017,"1,000",1,29/10/2019,"70,000₪"
152,יקוזוס םורטס-יו 250 ,ישומישוד,2019,250,2,29/10/2019,"24,000₪"
153,מ.ט.ק 250 EXC-F ,ישומישוד,2015,250,3,29/10/2019,"37,000₪"
154,מ.ט.ק קויד 250 ,שיבכ/טרופס,2019,250,2,29/10/2019,"17,999₪"
155,יקאסאוואק Z400 ,שיבכ/טרופס,2019,400,1,29/10/2019,None
156,הדנוה CBR650F ,שיבכ/טרופס,2018,650,1,29/10/2019,"48,000₪"
157,ההאמי MT-10 ,שיבכ/טרופס,2019,"1,000",0,29/10/2019,"95,985₪"
158,ההאמי YZF-R1 ,שיבכ/טרופס,2019,"1,000",2,29/10/2019,None
159,יטאקוד רטסנומ 1200 ,שיבכ/טרופס,2015,"1,200",3,29/10/2019,None
160,יקאסאוואק EN500 ,םוטסק,2004,500,4,28/10/2019,"25,000₪"
161,יטאקוד הדרטסיטלומ 950 ,שיבכ/טרופס,2018,"1,000",1,28/10/2019,"90,000₪"
162,יקאסאוואק KX ,סורקוטומ,2015,450,2,28/10/2019,None
163,הדנוה פלאסנרט 650 ,ישומישוד,2004,650,5,28/10/2019,"10,000₪"
164,יקאסאוואק Versys 650 ,ישומישוד,2017,650,1,28/10/2019,"42,000₪"
165,ההאמי MT 07 ,שיבכ/טרופס,2016,700,2,28/10/2019,"42,000₪"
166,ןאס גנאי יו'ג סקמ טרופס 250 ,שיבכ/טרופס,2016,250,3,28/10/2019,"14,000₪"
167,ההאמי WR400/426/450F ,ישומישוד,2009,450,5,28/10/2019,"20,000₪"
168,הדנוה CB500X ,ישומישוד,2019,500,2,28/10/2019,"44,500₪"
169,יקאסאוואק Z250 ,שיבכ/טרופס,2017,250,3,28/10/2019,"14,500₪"
170,הדנוה פלאסנרט 700 ,ישומישוד,2009,700,4,28/10/2019,"20,000₪"
171,וו.מ.ב רחא ,שיבכ/טרופס,2018,300,1,28/10/2019,"24,000₪"
172,הדנוה CRF250L ,ישומישוד,2015,250,3,28/10/2019,"17,000₪"
173,ילרה ןוסדיוויד הרטקלא דיילג 1340 ,םוטסק,1983,"1,350",3,28/10/2019,None
174,וקרש SE 250R-2T Factory ,ישומישוד,2017,250,1,28/10/2019,"33,000₪"
175,ההאמי XTZ660 הרנט ,ישומישוד,2014,650,3,28/10/2019,"30,000₪"
176,מ.ט.ק EXC 125 ,ישומישוד,2013,125,3,28/10/2019,"22,000₪"
177,הדנוה CBR250R ,שיבכ/טרופס,2014,250,4,28/10/2019,"5,555₪"
178,הדנוה CB125R ,שיבכ/טרופס,2016,125,2,28/10/2019,None
179,יקוזוס DRZ400S ,ישומישוד,2008,400,10+,28/10/2019,"12,500₪"
180,הנרווקסוה 701 ורודנא ,ישומישוד,2018,700,2,29/10/2019,"46,500₪"
181,הדנוה CBR300 ,שיבכ/טרופס,2019,300,1,29/10/2019,"28,000₪"
182,יקאסאוואק Versys 1000 ,שיבכ/טרופס,2015,"1,000",4,29/10/2019,None
183,הילירפא רביש 900 ,שיבכ/טרופס,2018,900,1,29/10/2019,"57,500₪"
184,יקוזוס DL650 םורטס-יו ,ישומישוד,2018,650,1,29/10/2019,"51,000₪"
185,יקאסאוואק Versys 1000 ,ישומישוד,2013,"1,000",1,29/10/2019,"47,000₪"
186,ההאמי XTZ660 הרנט ,ישומישוד,2015,650,4,29/10/2019,"27,999₪"
187,ההאמי YZF600R טאקרדנא'ת ,שיבכ/טרופס,1997,600,5,29/10/2019,None
188,ההאמי MT 09 TRACER ,שיבכ/טרופס,2015,900,1,29/10/2019,"43,600₪"
189,יקאסאוואק VN900 קיסאלק ,םוטסק,2009,900,1,29/10/2019,"30,000₪"
190,הדנוה CB1000R ,שיבכ/טרופס,2015,"1,000",2,29/10/2019,"51,000₪"
191,ההאמי YZF-R6 ,שיבכ/טרופס,2019,600,2,29/10/2019,None
192,יקאסאוואק Z650 ,שיבכ/טרופס,2018,650,1,29/10/2019,"41,999₪"
193,ההאמי MT 07 ,שיבכ/טרופס,2019,700,0,29/10/2019,"56,985₪"
194,ההאמי MT-07 TRACER ,ישומישוד,2018,700,1,29/10/2019,"46,000₪"
